"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-16 00:37:18 GMT	26254769568	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:37:35 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:37:00 GMT	26254761568	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:37:16 GMT	0	-1	View"
"			View					"
"2017-03-16 00:36:42 GMT	26254753468	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:36:58 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:36:24 GMT	26254745768	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:36:41 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:36:06 GMT	26254737568	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:36:22 GMT	0	-1	View"
"			View					"
"2017-03-16 00:35:48 GMT	26254728588	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:36:04 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:35:30 GMT	26254720288	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:35:46 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:35:12 GMT	26254712048	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:35:28 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:34:54 GMT	26254701268	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:35:10 GMT	1.94	0.94	View"
"			View					"
"2017-03-16 00:34:36 GMT	26254692748	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:34:53 GMT	3.88	1.88	View"
"			View					"
"2017-03-16 00:34:18 GMT	26254684708	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:34:34 GMT	0	-1	View"
"			View					"
"2017-03-16 00:33:46 GMT	26254670548	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-16 00:34:16 GMT	15.54	7.54	View"
"			View					"
"2017-03-16 00:33:22 GMT	26254660348	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-16 00:33:43 GMT	0	-4	View"
"			View					"
"2017-03-16 00:33:04 GMT	26254653148	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:33:21 GMT	0	-2	View"
"			View					"
"2017-03-16 00:32:46 GMT	26254644948	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:33:03 GMT	0	-1	View"
"			View					"
"2017-03-16 00:32:14 GMT	26254630108	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-16 00:32:44 GMT	15.54	7.54	View"
"			View					"
"2017-03-16 00:31:50 GMT	26254619808	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-16 00:32:11 GMT	0	-4	View"
"			View					"
"2017-03-16 00:31:32 GMT	26254612368	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-16 00:31:49 GMT	0	-2	View"
"			View					"
"2017-03-16 00:31:14 GMT	26254604628	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-16 00:31:30 GMT	0	-1	View"
"			View					"
